Window_Size,Latency_ms
1,0.27470799977891147
1,0.26304202037863433
1,0.2675419964361936
1,0.2752500004135072
1,0.26508301380090415
1,0.2728750114329159
1,0.26708299992606044
1,0.262417015619576
1,0.2728750114329159
1,0.26470900047570467
1,0.27024999144487083
1,0.2741670177783817
1,0.26470900047570467
1,0.2728340041358024
1,0.2674160059541464
1,0.26500000967644155
1,0.2729579864535481
1,0.26904098922386765
1,0.2811659942381084
1,0.27466699248179793
1,0.2895829966291785
1,0.35975000355392694
1,0.2847500145435333
1,0.24479097919538617
1,0.22262500715442002
1,0.22258399985730648
1,0.22245800937525928
1,0.2224160125479102
1,0.2224589989054948
1,0.22233399795368314
1,0.2416660136077553
1,0.24770799791440368
1,0.22241700207814574
1,0.2482089912518859
1,0.2300000051036477
1,0.23083301493898034
1,0.23029197473078966
1,0.24812499759718776
1,0.22741599241271615
1,0.2693750138860196
1,0.2289160038344562
1,0.23695899290032685
1,0.24545899941585958
1,0.2337500045541674
1,0.24816699442453682
1,0.23516701185144484
1,0.24812499759718776
1,0.2385829866398126
1,0.2424580161459744
1,0.2448330051265657
1,0.23624999448657036
1,0.2480830007698387
1,0.23525001597590744
1,0.24812502670101821
1,0.24525000480934978
1,0.25912499404512346
1,0.2457080117892474
1,0.2366670232731849
1,0.2565000031609088
1,0.23779197363182902
1,0.24820800172165036
1,0.27004198636859655
1,0.309833005303517
1,0.318874983349815
1,0.2871250035241246
1,0.24750002194195986
1,0.2517500251997262
1,0.2454170025885105
1,0.24470800417475402
1,0.24454100639559329
1,0.24458402185700834
1,0.2507920144125819
1,0.2632919931784272
1,0.24458300322294235
1,0.24487500195391476
1,0.27312501333653927
1,0.24458300322294235
1,0.24462500005029142
1,0.2723329816944897
1,0.2573750098235905
1,0.2626249915920198
1,0.252666010055691
1,0.26933400658890605
1,0.26733402046374977
1,0.258084008237347
1,0.27170899556949735
1,0.25275000371038914
1,0.26895900373347104
1,0.26366699603386223
1,0.24154200218617916
1,0.2448330051265657
1,0.2279579930473119
1,0.22358298883773386
1,0.22291700588539243
1,0.2225420030299574
1,0.2296250022482127
1,0.2507499884814024
1,0.2346250112168491
1,0.2429999876767397
1,0.2321659994777292
1,0.24283298989757895
1,0.25549999554641545
1,0.23520801914855838
1,0.24816699442453682
1,0.23508298909291625
1,0.24791600299067795
1,0.23933299235068262
1,0.2415830094832927
1,0.24558301083743572
1,0.2354589814785868
1,0.25075001758523285
1,0.23750000400468707
1,0.24816699442453682
1,0.23758300812914968
1,0.2455409849062562
1,0.24674998712725937
1,0.23875001352280378
1,0.2480420225765556
1,0.23750000400468707
1,0.2854580234270543
1,0.25033397832885385
1,0.25666700094006956
1,0.24729198776185513
1,0.24458300322294235
1,0.2557090192567557
1,0.24724999093450606
1,0.24462500005029142
1,0.25833401014097035
1,0.2650829846970737
1,0.25504198856651783
1,0.2634169941302389
1,0.272917008260265
1,0.25575002655386925
1,0.26450000586919487
1,0.26508301380090415
1,0.25383400497958064
1,0.27545899502001703
1,0.26783300563693047
1,0.2655420103110373
1,0.27141597820445895
1,0.25754200760275126
1,0.2755839959718287
1,0.26158400578424335
1,0.2616250130813569
1,0.2752919972408563
1,0.25749998167157173
1,0.2795839973259717
1,0.2409169974271208
1,0.23891599266789854
1,0.22233297931961715
1,0.22229200112633407
1,0.2223330084234476
1,0.22241598344407976
1,0.2532920043449849
1,0.2299170009791851
1,0.23133298964239657
1,0.23512501502409577
1,0.24720901274122298
1,0.23520799004472792
1,0.2440410025883466
1,0.24620801559649408
1,0.235249986872077
1,0.24804199347272515
1,0.23754200083203614
1,0.25070799165405333
1,0.23800000781193376
1,0.2476660010870546
1,0.2449589956086129
1,0.23820798378437757
1,0.2480420225765556
1,0.23750000400468707
1,0.24804199347272515
1,0.23750000400468707
1,0.2507090102881193
1,0.2417920040898025
1,0.24141697213053703
1,0.25187499704770744
1,0.23774997680447996
1,0.2480830007698387
