System,Latency_ms
Static PQ (Pure ADC),0.21608300448860973
AO-PQ (Pure ADC Multi-Epoch),0.2774170134216547
Static PQ (Pure ADC),0.47599998652003706
AO-PQ (Pure ADC Multi-Epoch),0.4312090022722259
Static PQ (Pure ADC),0.21558300068136305
AO-PQ (Pure ADC Multi-Epoch),0.3327910089865327
Static PQ (Pure ADC),0.5067080055596307
AO-PQ (Pure ADC Multi-Epoch),0.4063340020366013
Static PQ (Pure ADC),0.37379100103862584
AO-PQ (Pure ADC Multi-Epoch),0.4030839918414131
Static PQ (Pure ADC),0.37683299160562456
AO-PQ (Pure ADC Multi-Epoch),0.3043750039068982
Static PQ (Pure ADC),0.28991700673941523
AO-PQ (Pure ADC Multi-Epoch),0.5160840082680807
Static PQ (Pure ADC),0.6927919894224033
AO-PQ (Pure ADC Multi-Epoch),0.3197499900124967
Static PQ (Pure ADC),0.2732499997364357
AO-PQ (Pure ADC Multi-Epoch),0.3489579976303503
Static PQ (Pure ADC),0.33320799411740154
AO-PQ (Pure ADC Multi-Epoch),0.3365829907124862
Static PQ (Pure ADC),0.3792080096900463
AO-PQ (Pure ADC Multi-Epoch),0.29224999889265746
Static PQ (Pure ADC),0.4020409978693351
AO-PQ (Pure ADC Multi-Epoch),0.40012499084696174
Static PQ (Pure ADC),0.4192079941276461
AO-PQ (Pure ADC Multi-Epoch),0.2876670041587204
Static PQ (Pure ADC),0.2814170002238825
AO-PQ (Pure ADC Multi-Epoch),0.3152089921059087
Static PQ (Pure ADC),0.21458299306686968
AO-PQ (Pure ADC Multi-Epoch),0.2789999998640269
Static PQ (Pure ADC),0.291000003926456
AO-PQ (Pure ADC Multi-Epoch),0.29758400341961533
Static PQ (Pure ADC),0.39775000186637044
AO-PQ (Pure ADC Multi-Epoch),0.24679199850652367
Static PQ (Pure ADC),0.20870899606961757
AO-PQ (Pure ADC Multi-Epoch),0.23566601157654077
Static PQ (Pure ADC),0.45958400005474687
AO-PQ (Pure ADC Multi-Epoch),0.19208400044590235
Static PQ (Pure ADC),0.33120799344033003
AO-PQ (Pure ADC Multi-Epoch),0.33195799915120006
Static PQ (Pure ADC),0.4245830059517175
AO-PQ (Pure ADC Multi-Epoch),0.23941700055729598
Static PQ (Pure ADC),0.3139580076094717
AO-PQ (Pure ADC Multi-Epoch),0.33099998836405575
Static PQ (Pure ADC),0.5522499996004626
AO-PQ (Pure ADC Multi-Epoch),0.2806249976856634
Static PQ (Pure ADC),0.4013330035377294
AO-PQ (Pure ADC Multi-Epoch),0.19979200442321599
Static PQ (Pure ADC),0.3082920011365786
AO-PQ (Pure ADC Multi-Epoch),0.2487090096110478
Static PQ (Pure ADC),0.342958010151051
AO-PQ (Pure ADC Multi-Epoch),0.21462500444613397
Static PQ (Pure ADC),0.18837499374058098
AO-PQ (Pure ADC Multi-Epoch),0.23770800908096135
Static PQ (Pure ADC),0.5624159966828302
AO-PQ (Pure ADC Multi-Epoch),0.2280409971717745
Static PQ (Pure ADC),0.5501669947989285
AO-PQ (Pure ADC Multi-Epoch),0.2587500057416037
Static PQ (Pure ADC),0.6533330015372485
AO-PQ (Pure ADC Multi-Epoch),0.21283399837557226
Static PQ (Pure ADC),0.28479199681896716
AO-PQ (Pure ADC Multi-Epoch),0.45112500083632767
Static PQ (Pure ADC),0.4019999905722216
AO-PQ (Pure ADC Multi-Epoch),0.3997080057160929
Static PQ (Pure ADC),0.2645409986143932
AO-PQ (Pure ADC Multi-Epoch),0.43504100176505744
Static PQ (Pure ADC),0.3647499979706481
AO-PQ (Pure ADC Multi-Epoch),0.38449998828582466
Static PQ (Pure ADC),0.4802920011570677
AO-PQ (Pure ADC Multi-Epoch),0.5671249964507297
Static PQ (Pure ADC),0.42158400174230337
AO-PQ (Pure ADC Multi-Epoch),0.35795899748336524
Static PQ (Pure ADC),0.4203749995213002
AO-PQ (Pure ADC Multi-Epoch),0.356167001882568
Static PQ (Pure ADC),0.33362500835210085
AO-PQ (Pure ADC Multi-Epoch),0.36062501021660864
Static PQ (Pure ADC),0.2521670103305951
AO-PQ (Pure ADC Multi-Epoch),0.3570409899111837
Static PQ (Pure ADC),0.4556659987429157
AO-PQ (Pure ADC Multi-Epoch),0.35545899299904704
Static PQ (Pure ADC),0.2513330109650269
AO-PQ (Pure ADC Multi-Epoch),0.3429999924264848
Static PQ (Pure ADC),0.555791993974708
AO-PQ (Pure ADC Multi-Epoch),0.2746250102063641
Static PQ (Pure ADC),0.24529099755454808
AO-PQ (Pure ADC Multi-Epoch),0.3410839999560267
Static PQ (Pure ADC),0.22104199160821736
AO-PQ (Pure ADC Multi-Epoch),0.27766599669121206
Static PQ (Pure ADC),0.46283300616778433
AO-PQ (Pure ADC Multi-Epoch),0.3450410004006699
Static PQ (Pure ADC),0.42549999488983303
AO-PQ (Pure ADC Multi-Epoch),0.2536669926485047
Static PQ (Pure ADC),0.2774170134216547
AO-PQ (Pure ADC Multi-Epoch),0.27312499878462404
Static PQ (Pure ADC),0.24554198898840696
AO-PQ (Pure ADC Multi-Epoch),0.4626660083886236
Static PQ (Pure ADC),0.2560829889262095
AO-PQ (Pure ADC Multi-Epoch),0.301334002870135
Static PQ (Pure ADC),0.24558301083743572
AO-PQ (Pure ADC Multi-Epoch),0.2772090083453804
Static PQ (Pure ADC),0.4313749959692359
AO-PQ (Pure ADC Multi-Epoch),0.275624988717027
Static PQ (Pure ADC),0.8850839949445799
AO-PQ (Pure ADC Multi-Epoch),0.28587500855792314
Static PQ (Pure ADC),0.6066670030122623
AO-PQ (Pure ADC Multi-Epoch),0.33483299193903804
Static PQ (Pure ADC),0.45358399802353233
AO-PQ (Pure ADC Multi-Epoch),0.35104200651403517
Static PQ (Pure ADC),0.47825000365264714
AO-PQ (Pure ADC Multi-Epoch),0.284333000308834
