Thread_ID,Timestamp,Latency_ms
0,1788954302.314924,2.1631669951602817
0,1788954302.316106,0.5367919948184863
0,1788954302.318586,1.6855419962666929
0,1788954302.321878,2.3355419980362058
0,1788954302.325105,2.3800420021871105
0,1788954302.32806,2.197832989622839
0,1788954302.330283,1.5122080076253042
0,1788954302.333018,2.026834001298994
0,1788954302.336075,2.238417000626214
0,1788954302.3393338,2.4171670083887875
0,1788954302.341943,1.7758750036591664
0,1788954302.344691,1.8349580059293658
0,1788954302.3476312,2.252499994938262
0,1788954302.350132,1.6490830021211877
0,1788954302.353463,2.3385000095004216
0,1788954302.3562062,1.9907090027118102
0,1788954302.35919,2.034459001151845
0,1788954302.36255,2.6754169957712293
0,1788954302.366008,2.633166004670784
0,1788954302.3689961,2.0511250040726736
0,1788954302.372236,2.4852920032572
0,1788954302.374542,1.6527080006198958
0,1788954302.3773,1.9543330126907676
0,1788954302.380362,1.9941249920520931
0,1788954302.383685,2.625207998789847
0,1788954302.386582,2.037208992987871
0,1788954302.390458,2.837375010130927
0,1788954302.392301,1.113083999371156
0,1788954302.394667,1.6147499991348013
0,1788954302.396641,1.0901249916059896
0,1788954302.398721,1.456083991797641
0,1788954302.400932,1.4897920045768842
0,1788954302.40308,1.4111670025158674
0,1788954302.405578,1.6580840019742027
0,1788954302.4078982,1.6495000018039718
0,1788954302.409826,1.2040410074405372
0,1788954302.41186,1.1260830069659278
0,1788954302.413934,1.3524579990189523
0,1788954302.415553,0.9107499936362728
0,1788954302.4173892,1.0673329961718991
0,1788954302.4193852,1.2708339927485213
0,1788954302.421566,1.4196249976521358
0,1788954302.423813,0.9366660087835044
0,1788954302.425826,1.3630000030389056
0,1788954302.427298,0.7373339904006571
0,1788954302.429684,1.5202089998638257
0,1788954302.4317818,1.356459004455246
0,1788954302.433921,1.4392910088645294
0,1788954302.435772,1.1432500032242388
0,1788954302.437483,0.8367919945158064
0,1788954302.439151,0.8363749948330224
0,1788954302.440567,0.7191659969976172
0,1788954302.4425159,1.25125001068227
0,1788954302.44451,0.8620410080766305
0,1788954302.446479,1.3066249957773834
0,1788954302.448719,1.582833006978035
0,1788954302.449891,0.5180000007385388
0,1788954302.4512992,0.7224579894682392
0,1788954302.45292,0.9904580074362457
0,1788954302.454133,0.5011250032112002
0,1788954302.456034,1.2208749976707622
0,1788954302.459287,2.11220899655018
0,1788954302.4623868,2.3639999999431893
0,1788954302.4649348,1.8536249990575016
0,1788954302.4669251,1.2767500011250377
0,1788954302.469449,1.782874998752959
0,1788954302.4709032,0.7735420076642185
0,1788954302.473143,1.54283300798852
0,1788954302.4753401,1.5458330017281696
0,1788954302.477201,1.1620000004768372
0,1788954302.478942,1.0651249904185534
0,1788954302.481159,1.4340829948196188
0,1788954302.483475,1.6241659905062988
0,1788954302.485306,1.1066250008298084
0,1788954302.487539,1.4926250005373731
0,1788954302.4896908,1.4579999988200143
0,1788954302.491795,1.3839589955750853
0,1788954302.49366,1.1607920023379847
0,1788954302.4969401,2.6061250100610778
0,1788954302.4990249,1.4916660002199933
0,1788954302.501052,1.268084000912495
